1,4,2
2,3,4
3,2,6
4,1,8
5,8,10
6,7,12
7,6,14
8,5,16
9,12,18
10,11,20
11,10,22
12,9,24
13,16,26
14,15,28
15,14,30
16,13,32
17,20,34
18,19,36
19,18,38
20,17,40
21,24,42
22,23,44
23,22,46
24,21,48
25,28,50
26,27,52
27,26,54
28,25,56
29,32,58
30,31,60
31,30,62
32,29,64
33,36,66
34,35,68
35,34,70
36,33,72
37,40,74
38,39,76
39,38,78
40,37,80
41,44,82
42,43,84
43,42,86
44,41,88
45,48,90
46,47,92
47,46,94
48,45,96
49,52,98
50,51,100
51,50,102
52,49,104
53,56,106
54,55,108
55,54,110
56,53,112
57,60,114
58,59,116
59,58,118
60,57,120
61,64,122
62,63,124
63,62,126
64,61,128
