1,7,2
2,6,4
3,5,6
4,4,8
5,3,10
6,2,12
7,1,14
8,14,16
9,13,18
10,12,20
11,11,22
12,10,24
13,9,26
14,8,28
15,21,30
16,20,32
17,19,34
18,18,36
19,17,38
20,16,40
21,15,42
22,28,44
23,27,46
24,26,48
25,25,50
26,24,52
27,23,54
28,22,56
29,35,58
30,34,60
31,33,62
32,32,64
33,31,66
34,30,68
35,29,70
36,42,72
37,41,74
38,40,76
39,39,78
40,38,80
41,37,82
42,36,84
43,49,86
44,48,88
45,47,90
46,46,92
47,45,94
48,44,96
49,43,98
50,56,100
51,55,102
52,54,104
53,53,106
54,52,108
55,51,110
56,50,112
57,63,114
58,62,116
59,61,118
60,60,120
61,59,122
62,58,124
63,57,126
64,70,128
65,69,130
66,68,132
67,67,134
68,66,136
69,65,138
70,64,140
71,77,142
72,76,144
73,75,146
74,74,148
75,73,150
76,72,152
