1,3,2
2,2,4
3,1,6
4,6,8
5,5,10
6,4,12
7,9,14
8,8,16
9,7,18
10,12,20
11,11,22
12,10,24
13,15,26
14,14,28
15,13,30
16,18,32
17,17,34
18,16,36
19,21,38
20,20,40
21,19,42
22,24,44
23,23,46
24,22,48
25,27,50
26,26,52
27,25,54
28,30,56
29,29,58
30,28,60
31,33,62
32,32,64
33,31,66
34,36,68
35,35,70
36,34,72
37,39,74
38,38,76
39,37,78
40,42,80
41,41,82
42,40,84
43,45,86
44,44,88
45,43,90
46,48,92
47,47,94
48,46,96
49,51,98
50,50,100
51,49,102
52,54,104
53,53,106
54,52,108
55,57,110
56,56,112
57,55,114
58,60,116
59,59,118
60,58,120
